feature,importance
pay_0_2,0.12306583509628428
pay_2_2,0.08516272079140143
pay_3_2,0.06329610588588287
pay_0_0,0.05245349557024961
limit_bal,0.049404867253975165
pay_amt1,0.046641902267326625
pay_4_2,0.03919652712128652
pay_amt2,0.037554433693660225
pay_amt3,0.03603919884681762
bill_amt1,0.03375132967930432
pay_amt4,0.032491137072756485
bill_amt2,0.030398685972092294
bill_amt4,0.027539140110850128
pay_amt6,0.02713857142756685
pay_amt5,0.026718527464533324
bill_amt3,0.026675114355986438
bill_amt5,0.026133171821598952
pay_5_2,0.025125333328336604
bill_amt6,0.023073788522158238
pay_6_2,0.020022456263273456
age,0.019685031009840682
pay_2_0,0.017221637999017495
pay_0_1,0.011276734872046655
pay_0_-1,0.009015200194368987
pay_2_-1,0.008878384447452328
pay_3_0,0.007999286458735008
pay_3_-1,0.007677319632478246
pay_4_0,0.006449627539725225
pay_0_-2,0.006273360601042155
pay_5_-1,0.00432614091246386
education_1,0.004198114626086822
pay_5_0,0.004025757260226376
pay_2_-2,0.003997596395561709
pay_0_3,0.003947107680219981
pay_6_0,0.003914130652151824
pay_4_-1,0.003904629159256282
pay_3_-2,0.0038923482784032266
pay_2_3,0.0038906143154547636
sex_2,0.003796270790945838
pay_6_-1,0.0037557169734507966
sex_1,0.003720178800700408
education_2,0.003668839830400141
marriage_2,0.00336061249669159
marriage_1,0.0031964812990770766
pay_4_-2,0.0023615606954591607
education_3,0.0021803872290465658
pay_6_-2,0.0021273809527705386
pay_5_-2,0.001942425568086405
pay_3_3,0.0011618702399749552
pay_4_3,0.0010543445923593571
education_5,0.0008231127273007604
pay_5_3,0.0007670646791311012
pay_6_3,0.0005215302947697306
pay_0_4,0.0004254805869249975
marriage_3,0.00042188215459535144
pay_2_4,0.00037696454068967443
pay_3_4,0.0003054580045265046
pay_4_7,0.0002352523376069094
pay_5_4,0.00020324108426536566
education_6,0.00016316942280545355
pay_4_4,0.00015854233209925423
pay_5_7,0.0001254682878099223
education_4,0.00010118979836685701
marriage_0,0.00010078869140536128
pay_3_7,7.117846969637239e-05
pay_4_5,6.148133612406534e-05
pay_2_1,5.17280902396179e-05
pay_3_6,4.967660296196458e-05
pay_0_5,4.234124220266625e-05
pay_6_7,3.801801375849575e-05
pay_2_5,3.474219304109502e-05
pay_2_7,2.656187809332859e-05
pay_0_6,2.6236934883309823e-05
pay_0_8,2.4325336056102283e-05
pay_6_4,2.0391018957109034e-05
pay_2_6,1.538785921931432e-05
pay_6_6,1.109047668661657e-05
pay_0_7,9.800179622409722e-06
pay_3_5,6.198886342226931e-06
pay_6_5,2.624909819472216e-07
pay_5_5,0.0
pay_5_6,0.0
pay_4_6,0.0
pay_4_8,0.0
pay_3_1,0.0
pay_3_8,0.0
education_0,0.0
pay_4_1,0.0
